,Name,Price,County,Make,Model,Trim,Trim Level,Year,Mileage,Fuel Type,Transmission,Body Type,Engine Size (Litres),Power,Acceleration (0-100 km/h),Seats,Doors,Colour,Country of Registration,Previous Owners,Road Tax,NCT Expiry,EURO NCAP Safety Rating,Warranty,Battery Capacity,Battery Range (up to)
365,BMW 318 Exclusive Automatic Tiny Km,"€11,950",Kildare,BMW,3-Series,EXCLUSIVE EDITION,---,2011,"44,125 mi",Petrol,Automatic,Saloon,2.0 litre,143hp,9.9 sec,5,4,Blue,Ireland,2,390,Mar 2023,---,3 Month,,
366,"BMW 1-Series, 2018 Sport","€23,750",Dublin,BMW,1-Series,SE,Medium Trim,2018,"32,806 km",Petrol,Automatic,Hatchback,1.5 litre,136hp,8.7 sec,5,3,White,Ireland,---,200,Aug 2022,5/5,3 Month,,
367,"Volkswagen Passat, 2015","€14,650",Dublin,Volkswagen,Passat,Comfortline,Medium Trim,2015,"141,275 km",Diesel,Manual,Saloon,1.6 litre,120hp,10.8 sec,5,4,Blue,Ireland,3,190,Feb 2023,5/5,3 Month,,
368,"Mercedes-Benz CLS-Class, 2013 Amg Sport","€19,995",Dublin,Mercedes-Benz,CLS-Class,SPORT,Base Trim,2013,"116,269 km",Diesel,Automatic,Coupe,2.1 litre,204hp,7.5 sec,4,4,Silver,Ireland,1,280,Jun 2024,---,3 Month,,
369,"Nissan Pulsar, 2015 1.2 PETROL AUTOMATIC","€10,999",Dublin,Nissan,Pulsar,SV,Medium Trim,2015,"122,692 km",Petrol,Automatic,Hatchback,1.2 litre,115hp,12.7 sec,5,4,Silver,Ireland,2,200,Nov 2023,5/5,3 Month,,
370,"DS 5, 2015","€12,999",Dublin,Citroen,DS 5,---,---,2015,"96,254 km",Diesel,Manual,Hatchback,1.6 litre,---,---,5,4,Blue,Ireland,2,190,Jun 2023,---,3 Month,,
371,Toyota Yaris 1.0 Terra Hatchback Petrol Manual (6,"€9,250",Cork,Toyota,Yaris,Terra,Medium Trim,2013,"38,199 km",Petrol,Automatic,Hatchback,1.0 litre,68hp,12 sec,5,5,Silver,Ireland,1,180,---,---,Available,,
372,Audi A6 2.0 TDI Sline Ultra 187BHP 4DR Auto,"€29,500",Kerry,Audi,A6,S Line,Sports Trim,2017,"132,003 km",Diesel,Automatic,Saloon,2.0 litre,190hp,8.2 sec,5,4,Black,Ireland,1,190,Sep 2023,---,,,
373,"Suzuki Swift, 2012 1.2 5DR AUTO , Nct07/24","€8,450",Dublin,Suzuki,Swift,GLX,Luxury Trim,2012,"77,361 km",Petrol,Automatic,Hatchback,1.2 litre,94hp,13.5 sec,5,5,Red,Ireland,---,200,Jul 2024,5/5,3 Month,,
374,"Nissan Juke, 2015 ACENTA DIG-T","€12,999",Dublin,Nissan,Juke,SV,Medium Trim,2015,"82,563 km",Petrol,Manual,SUV,1.2 litre,116hp,10.8 sec,5,4,Blue,Ireland,2,270,May 2023,5/5,3 Month,,
